,ID,nom,departement,ville,CP,type,NO2_2012,PM10_2012,PM25_2012,geometry
0,0750026W,L'Enseignement par petits groupes (Ecole secondaire privée),75,Paris 15,75015,secondaire,41.31691157579422,27.311257288455963,17.152856701612475,"c(2.2908106734441, 48.8421565600018)"
1,0750106H,Ecole technologique privée CCIP Centre des Formations Industrielles,75,Paris 20,75020,secondaire,63.68387825489045,34.04370647370816,22.69253098666668,"c(2.40580700033425, 48.8756657433978)"
2,0750132L,Ecole primaire privée Notre-Dame-Saint Roch,75,Paris 01,75001,primaire,41.50733580589294,27.03752338886261,16.614189273118974,"c(2.33270615799049, 48.8661396641722)"
3,0750136R,Ecole primaire privée Saint-Sauveur,75,Paris 02,75002,primaire,45.19734194278717,28.33159293532372,17.713481116890907,"c(2.34734689771536, 48.8668886093452)"
4,0750138T,Ecole primaire privée Sainte Geneviève du Marais,75,Paris 03,75003,primaire,40.1095464617014,26.688788735866552,16.33294147402048,"c(2.36480092620121, 48.8569700986785)"
5,0750141W,Ecole primaire privée Massillon,75,Paris 04,75004,primaire,39.80361735820771,26.76233071833849,16.382912062108517,"c(2.36311683714412, 48.8520228061988)"
6,0750142X,Ecole primaire privée Saint Jean Gabriel,75,Paris 04,75004,primaire,58.23738158226014,34.07306122660637,22.09251671910286,"c(2.35172741928641, 48.8589568008713)"
7,0750145A,Ecole élémentaire privée Les Francs Bourgeois,75,Paris 04,75004,primaire,62.283895104527474,34.944372485280034,23.0311473813653,"c(2.36578441706958, 48.8535442911912)"
8,0750148D,Ecole primaire privée Sinaï,75,Paris 18,75018,primaire,40.633391551971435,26.30697174072265,16.04725212574005,"c(2.36600164488975, 48.8944948956878)"
9,0750149E,Ecole primaire privée Sainte Catherine,75,Paris 05,75005,primaire,38.695756070315845,26.64845850244164,16.266670434176927,"c(2.3508215170127, 48.8502758324516)"
10,0750150F,Ecole primaire privée Sainte Geneviève,75,Paris 05,75005,primaire,51.46021246910095,31.710112428665166,20.54437866210937,"c(2.3506434893413, 48.8458617156269)"
11,0750151G,Ecole primaire privée Soeur Rosalie Louise de Marillac,75,Paris 05,75005,primaire,45.15648606419563,29.228433161973953,18.3663839623332,"c(2.35623153284056, 48.8408024289818)"
12,0750153J,Ecole primaire privée Saint Victor,75,Paris 05,75005,primaire,57.752006807923316,34.03470522344112,22.50881062150001,"c(2.35355483660239, 48.8470115743346)"
13,0750154K,Ecole élémentaire privée Sévigné,75,Paris 05,75005,primaire,37.525341414101426,26.451777950441464,16.136363918101413,"c(2.33938049535103, 48.8407555246058)"
14,0750161T,Ecole primaire privée Sainte Geneviève,75,Paris 06,75006,primaire,44.244826078414924,28.899516224861145,18.103704631328586,"c(2.33137094757027, 48.8457987255781)"
15,0750164W,Ecole primaire privée Bossuet,75,Paris 06,75006,primaire,48.516782712936404,30.585452485084527,19.61635555028916,"c(2.3317005609002, 48.8480417747527)"
16,0750167Z,Ecole primaire privée Stanislas,75,Paris 06,75006,primaire,37.627091730642135,26.322895983457567,16.05696663677692,"c(2.32743548428265, 48.8444357160638)"
17,0750168A,Ecole primaire privée Sainte Marie de Sion,75,Paris 06,75006,primaire,37.504022397473456,26.37972406614572,16.09258135361597,"c(2.33232484272976, 48.8418603445955)"
18,0750169B,Ecole primaire privée Alsacienne,75,Paris 06,75006,primaire,39.75095727920532,27.26887775421143,16.831384987831115,"c(2.33381959888431, 48.8410043880873)"
19,0750171D,Ecole élémentaire privée L'Alma,75,Paris 07,75007,primaire,51.47987478852272,31.398232186436648,20.39178184807301,"c(2.30268361149813, 48.860111937288)"
20,0750175H,Ecole primaire privée Saint Thomas d'Aquin,75,Paris 07,75007,primaire,42.837441728115074,27.948052072525023,17.350092049837112,"c(2.33023256131885, 48.8552796870927)"
21,0750176J,Ecole primaire privée Sainte Clotilde,75,Paris 07,75007,primaire,44.72135642945766,28.75606459975243,18.177199527323246,"c(2.323385395814, 48.8555910143912)"
22,0750179M,Ecole primaire privée Active Bilingue Jeannine Manuel,75,Paris 15,75015,primaire,37.269934697151186,25.748348250389103,15.706492594480515,"c(2.29496762225936, 48.8527495596264)"
23,0750182R,Collège privé Saint Louis,75,Paris 18,75018,secondaire,41.79264971613885,26.784186661243442,16.424653485417366,"c(2.3397539199419, 48.8942028711477)"
24,0750185U,Ecole primaire privée Sainte Jeanne-Elisabeth,75,Paris 07,75007,primaire,38.04191386342049,26.13187986440957,15.945636872947215,"c(2.31364079601106, 48.8496779971947)"
25,0750187W,Ecole primaire privée Active Bilingue Jeannine Manuel,75,Paris 07,75007,primaire,44.71633134841919,28.571214499473573,17.931770883798603,"c(2.30726690026717, 48.847444121225)"
26,0750195E,Ecole primaire privée Saint Pierre de Chaillot,75,Paris 08,75008,primaire,38.7646419364214,26.12162212990225,15.93686961568892,"c(2.29935770218258, 48.8698504532229)"
27,0750199J,Ecole primaire privée Hattemer,75,Paris 08,75008,primaire,44.333221051096906,28.13679707944393,17.52644570171833,"c(2.32549152810142, 48.8784031062283)"
28,0750203N,Ecole primaire privée Fénelon-Sainte Marie,75,Paris 08,75008,primaire,40.44778321564198,26.561827678978442,16.240185090005394,"c(2.31657901928816, 48.880633274431)"
